,Channel_name,Description,Subscribers,Views,Total_videos,Playlist_id
0,maisyleigh,"🕯 my cozy daily life, desk setup & firey creative journeys🔥

Hi! I'm Maisy, and I'm sharing my story of how I live a cozy lifestyle, find peace, and create new things. I'm a visionary, frontend engineer and designer - and I love ideating solutions that facilitate people's everyday lives, sketching them out and bringing them to life.  

I've embarked my content creating journey to share my story, as I navigate life.  I love being able to share my creativity through this platform.

I love composing my own songs on the piano, gardening, playing video games, drinking matcha and coffee, star wars, bowling, hiking, interior designing, ideating & wire framing app ideas, graphic design, and engineering.

Cozy Lifestyle Content, Tech & Desk Setup Inspiration, Design & Code Journeys!
Follow me on IG for more: https://instagram.com/maisyleigh
More info on desk setup & product links: https://liinks.co/maisyleigh

🍃 Wallpapers & Art by https://instagram.com/mysweetchubs🎈

",194000,12519002,82,UU_h-Jl4Zxb7p-sSBTxprs4Q
1,John Coogan,"Co-founder of http://soylent.com and http://lucy.co

I've been an entrepreneur for nearly a decade across multiple companies. I've done a lot of work in silicon valley, so that's mostly what I talk about. I've raised over 10 rounds of venture capital totaling over $100m in total funding. 

I work mostly in tech-enabled consumer packaged goods, meaning I use software to make the best products possible and then deliver them to the widest possible audience. I'm a big fan of machine learning, python programming, and motion graphics. 

Follow me on Twitter at: https://twitter.com/johncoogan
",192000,15205363,93,UU3_BakzLfadvFrsnClMFWmQ
2,Hussein Nasser,"Join me as we discuss various software engineering topics with examples and add fun elements to them. We always try to learn by example here in this educational Youtube channel which we believe is the right way to learn. I love Software engineering (especially the backend) and I strive to be a better software engineer every day. Join me on this journey and let us learn together.  

All opinions, suggestions, and tips I provide in all of this channel's content are my own. Information provided is for educational purposes only. 

Consider becoming a member to support the channel
https://www.youtube.com/channel/UC_ML5xP23TOWKUcc-oAE_Eg/join

Stay awesome!
Hussein Nasser,
http://www.husseinnasser.com
Feel free to shoot me an email h@husseinnasser.com
twitter: @hnasr",257000,13907623,745,UU_ML5xP23TOWKUcc-oAE_Eg
3,James Q Quick,I publish weekly videos about Web Development!  I am constantly learning the latest and greatest in Web Development and am excited to help you do the same.,153000,10452924,397,UU-T8W79DN6PBnzomelvqJYw
4,Dorian Develops,"🎓 High School Dropout
💻 Self Taught Developer
🤮 Influencer
🥋 BJJ Purple Belt
🎮 Recovering Video Game Addict
",145000,7165492,224,UUUOMtzQmEmhIAF8G_cha_Xw
5,Kevin Powell,"Helping you learn how to make the web, and make it look good while you're at it.

With videos every Tuesday and Thursday, I'll be bringing you How Tos and Tutorials, as well as simple tips and tricks, with a big focus on helping people see how wonderful CSS is!",575000,40938718,503,UUJZv4d5rbIKd4QHMPkcABCw
6,John Hammond,Follow me on Twitter: https://twitter.com/_johnhammond,424000,23848702,1218,UUVeW9qkBjo3zosnqUbG7CFw
7,mayuko,"🌸a b o u t 🌸
Mayuko Inoue is a content creator and Software Engineer. After working in Silicon Valley tech companies like Intuit, Patreon, and Netflix for six years as an iOS Engineer, she became a full-time creator in 2020. Her work aims to help people find their way through the tech industry by sharing her own experiences navigating this world through technology, career advice, and lifestyle videos. She is passionate about discussions around mental health, cultural identity, and creating technology with empathy and compassion.

✉️c o n t a c t ✉️
If you'd like to sponsor a video: sponsor@hellomayuko.com
Other business inquiries: business@helloMayuko.com

https://www.hellomayuko.com
",540000,28394378,171,UUEDkO7wshcDZ7UZo17rPkzQ
8,Bukola,"Hi, welcome to my corner of the internet! I'm Bukola, a tech worker living in NYC. On this channel I share my experience working in tech through my Work Week VLOGS, tips for people looking to break into tech and interesting interviews with people who have unique journeys that led them to tech. I also like to share lessons I've learned about personal finance too! 

► Connect With Me
Business Inquiries: info@bukola.dev
Instagram: @bukola.dev
TikTok: @bukola.dev
Country: USA
",294000,9243748,56,UU-bFgwL_kFKLZA60AiB-CCQ
9,Coder Coder,Practical tips for the beginner web developer.,358000,9483444,73,UUzNf0liwUzMN6_pixbQlMhQ
